player_id,pos,age,g,mp,fg,fga,x3p,x2p,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,pred_pos,score
4522,PF,25.0,10,108.0,18,47,4.0,14,5,9,14.0,23.0,37.0,5,12.0,3.0,2.0,4,45,SG,8
3734,C,36.0,45,1381.0,156,336,92.0,64,13,18,53.0,227.0,280.0,119,22.0,41.0,28.0,85,417,PF,5
4698,PF,26.0,40,1036.0,194,420,104.0,90,68,86,30.0,124.0,154.0,66,38.0,14.0,20.0,70,560,SF,5
4688,PF,25.0,27,350.0,44,92,18.0,26,17,19,19.0,33.0,52.0,23,6.0,3.0,6.0,52,123,SG,4
4647,PF,28.0,49,1101.0,161,310,47.0,114,14,32,93.0,150.0,243.0,97,37.0,14.0,27.0,95,383,PF,4
4197,PF,32.0,36,584.0,69,170,35.0,34,25,34,25.0,108.0,133.0,46,25.0,28.0,23.0,68,198,PF,3
4352,C,27.0,51,1714.0,480,759,43.0,437,258,314,105.0,479.0,584.0,515,65.0,36.0,181.0,134,1261,PF,3
4271,PF,29.0,48,1253.0,151,300,29.0,122,81,104,37.0,189.0,226.0,195,57.0,40.0,66.0,102,412,SG,3
4183,C,31.0,92,1396.0,208,468,130.0,78,64,82,48.0,250.0,298.0,80,24.0,40.0,32.0,152,610,PF,3
4710,PF,26.0,31,671.0,59,132,36.0,23,15,23,16.0,100.0,116.0,28,21.0,15.0,13.0,70,169,PF,3
4345,PF,30.0,48,1089.0,161,260,13.0,148,47,69,87.0,201.0,288.0,92,44.0,34.0,36.0,104,382,PF,3
4085,PF,32.0,52,1646.0,168,321,32.0,136,56,80,42.0,338.0,380.0,358,50.0,41.0,134.0,157,424,PG,3
4897,PF,24.0,38,560.0,82,135,3.0,79,27,54,67.0,78.0,145.0,41,29.0,14.0,20.0,45,194,PF,3
5003,PF,25.0,57,903.0,127,281,97.0,30,10,15,25.0,124.0,149.0,42,17.0,12.0,19.0,73,361,SF,3
3920,C,33.0,26,375.0,47,92,19.0,28,15,24,24.0,65.0,89.0,33,8.0,5.0,13.0,50,128,PF,3
4525,SF,27.0,51,1704.0,183,363,34.0,149,87,119,95.0,322.0,417.0,200,54.0,9.0,79.0,133,487,PF,3
3841,PF,34.0,57,1238.0,113,277,85.0,28,27,41,50.0,190.0,240.0,84,34.0,40.0,38.0,117,338,PF,3
3791,PF,34.0,47,754.0,104,185,5.0,99,18,26,67.0,89.0,156.0,70,53.0,5.0,38.0,85,231,SG,3
4819,PG,22.0,39,977.0,164,370,42.0,122,99,112,23.0,156.0,179.0,160,23.0,24.0,58.0,96,469,PF,3
4654,PG,23.0,50,1826.0,562,1112,137.0,425,405,555,45.0,396.0,441.0,407,76.0,24.0,183.0,134,1666,PF,2
4547,C,31.0,22,564.0,51,104,24.0,27,11,14,19.0,59.0,78.0,21,7.0,22.0,13.0,48,137,PF,2
