player_id,pos,age,g,mp,fg,fga,x3p,x2p,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,pred_pos,score
4051,PG,32.0,14,235.0,26,79,13.0,13,15,20,3.0,32.0,35.0,53,15.0,2.0,10.0,20,80,PG,6
4551,PG,27.0,50,1406.0,198,412,67.0,131,54,67,20.0,151.0,171.0,267,36.0,8.0,49.0,67,517,PG,6
3585,PG,37.0,39,1247.0,185,434,61.0,124,102,123,15.0,150.0,165.0,353,62.0,18.0,81.0,84,533,PG,5
4320,PG,30.0,29,653.0,66,150,20.0,46,28,31,30.0,63.0,93.0,107,58.0,8.0,28.0,40,180,PG,5
4034,PG,32.0,9,144.0,24,57,7.0,17,17,21,3.0,13.0,16.0,19,2.0,2.0,4.0,11,72,SG,5
4358,PG,30.0,39,403.0,43,84,11.0,32,23,25,6.0,30.0,36.0,54,16.0,3.0,14.0,34,120,PG,5
4370,PG,26.0,57,1319.0,210,487,81.0,129,58,72,22.0,105.0,127.0,258,59.0,4.0,53.0,24,559,PG,5
4607,PG,27.0,114,1844.0,210,574,156.0,54,108,142,32.0,132.0,164.0,270,70.0,24.0,62.0,104,684,PG,5
4736,PG,26.0,24,367.0,33,81,9.0,24,9,9,13.0,25.0,38.0,76,19.0,2.0,19.0,11,84,PG,5
4794,SG,25.0,36,642.0,99,193,29.0,70,32,35,5.0,54.0,59.0,105,17.0,5.0,23.0,52,259,PG,5
4832,PG,31.0,8,52.0,3,13,3.0,0,1,2,0.0,2.0,2.0,9,6.0,0.0,3.0,3,10,PG,5
4958,PG,25.0,15,102.0,12,27,1.0,11,3,3,5.0,9.0,14.0,12,3.0,1.0,3.0,5,28,SG,5
3779,PG,35.0,92,2736.0,320,792,162.0,158,162,200,38.0,188.0,226.0,696,98.0,20.0,158.0,198,964,PG,5
4827,PG,23.0,6,53.0,1,10,1.0,0,0,0,6.0,4.0,10.0,8,5.0,0.0,3.0,9,3,SG,4
4860,PG,24.0,42,582.0,72,197,41.0,31,15,20,15.0,49.0,64.0,63,17.0,3.0,18.0,55,200,SG,4
4403,PG,28.0,50,1847.0,322,817,150.0,172,191,214,25.0,191.0,216.0,332,79.0,31.0,95.0,143,985,PG,4
4887,PG,23.0,52,1524.0,257,589,35.0,222,114,128,43.0,144.0,187.0,325,69.0,8.0,91.0,75,663,PG,4
4892,PG,22.0,48,1605.0,345,718,138.0,207,127,147,32.0,149.0,181.0,483,84.0,19.0,126.0,56,955,PG,4
4181,PG,32.0,24,146.0,12,32,6.0,6,3,5,1.0,7.0,8.0,33,6.0,0.0,8.0,14,33,PG,4
5097,PG,21.0,23,292.0,40,111,9.0,31,6,11,2.0,29.0,31.0,33,9.0,1.0,9.0,26,95,SG,4
3992,PG,31.0,40,633.0,67,172,25.0,42,28,37,10.0,42.0,52.0,132,17.0,5.0,30.0,58,187,PG,4
3816,PG,36.0,72,1356.0,118,264,46.0,72,68,92,26.0,108.0,134.0,178,40.0,6.0,54.0,82,350,PG,4
4630,PG,26.0,56,1966.0,480,989,106.0,374,275,328,36.0,167.0,203.0,347,51.0,15.0,114.0,130,1341,PG,3
4582,PG,26.0,50,725.0,78,187,31.0,47,24,28,21.0,45.0,66.0,65,27.0,10.0,29.0,68,211,SG,3
4413,PG,25.0,45,1464.0,331,718,108.0,223,140,168,35.0,151.0,186.0,261,43.0,9.0,94.0,60,910,PG,3
4989,PG,24.0,20,206.0,23,49,4.0,19,7,11,6.0,20.0,26.0,37,7.0,3.0,12.0,18,57,PG,3
4465,PG,28.0,49,1191.0,92,208,40.0,52,46,58,30.0,124.0,154.0,158,82.0,32.0,64.0,122,270,PG,3
4474,PG,26.0,42,1105.0,133,235,0.0,133,25,57,40.0,223.0,263.0,256,54.0,24.0,97.0,139,291,PG,3
3880,PG,33.0,41,1494.0,268,594,115.0,153,227,263,22.0,231.0,253.0,444,49.0,24.0,139.0,84,878,PG,3
4490,PG,25.0,38,951.0,130,304,15.0,115,45,61,16.0,89.0,105.0,168,52.0,17.0,59.0,85,320,PG,3
4966,PG,24.0,40,722.0,97,214,26.0,71,33,44,35.0,95.0,130.0,98,41.0,21.0,36.0,67,253,SG,3
4926,PG,24.0,56,999.0,125,281,42.0,83,20,25,12.0,63.0,75.0,118,28.0,11.0,46.0,78,312,PG,3
4602,PG,24.0,54,1537.0,207,484,118.0,89,45,57,52.0,174.0,226.0,145,93.0,29.0,75.0,133,577,SG,3
4991,PG,22.0,47,592.0,55,163,30.0,25,22,32,10.0,30.0,40.0,56,26.0,2.0,21.0,45,162,PG,3
3685,PG,36.0,44,1464.0,169,427,90.0,79,100,117,38.0,152.0,190.0,232,49.0,17.0,87.0,121,528,PG,3
4638,PG,27.0,58,1306.0,162,375,91.0,71,22,27,25.0,124.0,149.0,149,57.0,25.0,63.0,118,437,SG,3
4888,PG,24.0,18,239.0,24,50,0.0,24,2,3,5.0,24.0,29.0,31,6.0,2.0,10.0,16,50,SG,3
4708,PG,23.0,51,1794.0,383,819,130.0,253,213,247,22.0,117.0,139.0,406,64.0,5.0,151.0,110,1109,PG,3
4886,PG,21.0,36,581.0,65,157,21.0,44,49,56,9.0,77.0,86.0,86,27.0,6.0,35.0,37,200,PG,3
4881,PG,23.0,40,588.0,74,168,14.0,60,68,90,20.0,52.0,72.0,108,30.0,2.0,46.0,54,230,PG,3
4855,PG,21.0,55,1471.0,209,562,65.0,144,42,53,19.0,131.0,150.0,320,72.0,18.0,110.0,163,525,PG,3
4837,PG,23.0,59,1636.0,262,599,101.0,161,122,148,40.0,198.0,238.0,187,50.0,8.0,63.0,123,747,SG,3
4404,PG,30.0,15,255.0,24,41,9.0,15,4,4,10.0,29.0,39.0,22,16.0,1.0,12.0,29,61,SG,3
4968,PG,24.0,58,1264.0,192,470,81.0,111,65,80,26.0,111.0,137.0,181,64.0,10.0,80.0,121,530,PG,3
4394,SG,26.0,54,1972.0,449,971,110.0,339,112,134,38.0,259.0,297.0,328,83.0,18.0,121.0,79,1120,PG,3
4311,PG,28.0,28,671.0,127,308,48.0,79,38,49,9.0,55.0,64.0,148,25.0,5.0,55.0,57,340,PG,3
4085,PF,32.0,52,1646.0,168,321,32.0,136,56,80,42.0,338.0,380.0,358,50.0,41.0,134.0,157,424,PG,3
5094,PG,23.0,4,27.0,2,9,2.0,0,3,3,0.0,0.0,0.0,3,0.0,0.0,1.0,1,9,SG,3
4124,PG,34.0,45,1211.0,97,241,55.0,42,39,50,24.0,116.0,140.0,118,40.0,25.0,42.0,124,288,SG,3
4157,PG,29.0,45,1379.0,181,429,54.0,127,141,163,13.0,105.0,118.0,189,32.0,5.0,71.0,102,557,PG,3
5069,PG,20.0,24,221.0,26,66,2.0,24,5,11,6.0,24.0,30.0,46,10.0,5.0,16.0,13,59,PG,3
4217,SG,30.0,26,739.0,105,260,37.0,68,43,57,13.0,77.0,90.0,101,43.0,6.0,48.0,63,290,PG,3
4261,SF,35.0,25,563.0,53,140,38.0,15,11,13,8.0,64.0,72.0,81,14.0,3.0,29.0,40,155,PG,3
4291,PG,29.0,114,3892.0,674,1492,292.0,382,382,462,40.0,322.0,362.0,600,90.0,32.0,194.0,268,2022,PG,3
4275,PG,28.0,42,1360.0,168,395,74.0,94,56,73,30.0,117.0,147.0,300,59.0,17.0,99.0,110,466,PG,3
4819,PG,22.0,39,977.0,164,370,42.0,122,99,112,23.0,156.0,179.0,160,23.0,24.0,58.0,96,469,PF,3
5019,PG,22.0,21,120.0,11,29,5.0,6,1,2,2.0,12.0,14.0,12,3.0,1.0,4.0,11,28,SG,3
5029,SG,23.0,53,1435.0,170,401,62.0,108,26,30,27.0,120.0,147.0,220,53.0,10.0,91.0,140,428,PG,3
4365,PG,30.0,57,1119.0,190,364,18.0,172,41,48,33.0,133.0,166.0,284,58.0,5.0,102.0,74,439,PG,3
