player_id,pos,age,g,mp,fg,fga,x3p,x2p,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,pred_pos,score
5044,SG,25.0,16,194.0,20,46,4.0,16,0,0,2.0,28.0,30.0,20,16.0,6.0,4.0,26,44,SG,9
4522,PF,25.0,10,108.0,18,47,4.0,14,5,9,14.0,23.0,37.0,5,12.0,3.0,2.0,4,45,SG,8
4704,SF,27.0,7,134.0,14,36,3.0,11,4,7,8.0,16.0,24.0,11,4.0,1.0,2.0,13,35,SG,7
5098,SG,22.0,9,49.0,3,13,1.0,2,0,0,2.0,5.0,7.0,3,4.0,1.0,1.0,6,7,SG,7
4760,SG,25.0,102,1296.0,112,258,50.0,62,18,24,42.0,98.0,140.0,52,100.0,34.0,20.0,142,292,SG,7
3877,SG,36.0,18,129.0,15,35,9.0,6,3,4,2.0,9.0,11.0,10,9.0,1.0,3.0,14,42,SG,6
4528,SF,27.0,23,107.0,7,27,5.0,2,1,2,2.0,15.0,17.0,9,4.0,4.0,2.0,7,20,SG,6
4525,SG,27.0,3,78.0,18,29,9.0,9,6,8,5.0,11.0,16.0,8,5.0,1.0,2.0,10,51,SG,6
4794,SG,25.0,36,642.0,99,193,29.0,70,32,35,5.0,54.0,59.0,105,17.0,5.0,23.0,52,259,PG,5
4958,PG,25.0,15,102.0,12,27,1.0,11,3,3,5.0,9.0,14.0,12,3.0,1.0,3.0,5,28,SG,5
5071,SG,23.0,9,36.0,6,10,5.0,1,2,3,3.0,4.0,7.0,3,2.0,1.0,1.0,6,19,SG,5
4034,PG,32.0,9,144.0,24,57,7.0,17,17,21,3.0,13.0,16.0,19,2.0,2.0,4.0,11,72,SG,5
4069,SG,30.0,46,955.0,88,193,41.0,47,30,35,4.0,75.0,79.0,70,28.0,3.0,22.0,77,247,SG,4
4827,PG,23.0,6,53.0,1,10,1.0,0,0,0,6.0,4.0,10.0,8,5.0,0.0,3.0,9,3,SG,4
4492,SG,28.0,59,1636.0,238,528,106.0,132,112,130,32.0,164.0,196.0,229,44.0,54.0,63.0,130,694,SG,4
4860,PG,24.0,42,582.0,72,197,41.0,31,15,20,15.0,49.0,64.0,63,17.0,3.0,18.0,55,200,SG,4
5055,SF,23.0,13,181.0,25,48,2.0,23,12,16,12.0,26.0,38.0,8,8.0,0.0,4.0,15,64,SG,4
4734,SG,26.0,49,1097.0,108,249,52.0,56,20,23,43.0,188.0,231.0,70,50.0,13.0,29.0,73,288,SF,4
5097,PG,21.0,23,292.0,40,111,9.0,31,6,11,2.0,29.0,31.0,33,9.0,1.0,9.0,26,95,SG,4
4189,SF,29.0,8,146.0,15,30,6.0,9,8,8,6.0,13.0,19.0,8,11.0,0.0,4.0,7,44,SG,4
4688,PF,25.0,27,350.0,44,92,18.0,26,17,19,19.0,33.0,52.0,23,6.0,3.0,6.0,52,123,SG,4
4023,SF,33.0,44,1482.0,317,625,23.0,294,298,350,97.0,166.0,263.0,223,88.0,16.0,74.0,57,955,SG,4
4943,SF,28.0,42,653.0,61,159,40.0,21,17,21,35.0,55.0,90.0,43,35.0,13.0,19.0,87,179,SG,4
4888,PG,24.0,18,239.0,24,50,0.0,24,2,3,5.0,24.0,29.0,31,6.0,2.0,10.0,16,50,SG,3
4966,PG,24.0,40,722.0,97,214,26.0,71,33,44,35.0,95.0,130.0,98,41.0,21.0,36.0,67,253,SG,3
4944,SG,20.0,7,26.0,7,12,0.0,7,3,4,4.0,3.0,7.0,1,2.0,2.0,1.0,7,17,SG,3
4893,SG,22.0,38,1245.0,270,593,89.0,181,122,151,17.0,91.0,108.0,137,32.0,5.0,56.0,81,751,SG,3
4487,C,30.0,6,93.0,18,37,1.0,17,4,10,4.0,13.0,17.0,6,1.0,4.0,2.0,6,41,SG,3
4475,SG,30.0,34,1015.0,183,428,93.0,90,36,47,14.0,100.0,114.0,103,29.0,11.0,40.0,59,495,SG,3
4404,PG,30.0,15,255.0,24,41,9.0,15,4,4,10.0,29.0,39.0,22,16.0,1.0,12.0,29,61,SG,3
4703,SG,22.0,51,1135.0,161,386,83.0,78,44,53,11.0,126.0,137.0,101,38.0,5.0,41.0,86,449,SG,3
4826,SG,22.0,29,907.0,206,463,82.0,124,69,87,6.0,109.0,115.0,104,35.0,12.0,45.0,42,563,SG,3
4839,SG,23.0,49,771.0,132,282,104.0,28,41,49,17.0,92.0,109.0,53,29.0,6.0,21.0,66,409,SG,3
4837,PG,23.0,59,1636.0,262,599,101.0,161,122,148,40.0,198.0,238.0,187,50.0,8.0,63.0,123,747,SG,3
4981,SG,25.0,23,256.0,32,83,28.0,4,5,7,7.0,28.0,35.0,16,7.0,6.0,6.0,21,97,SG,3
4582,PG,26.0,50,725.0,78,187,31.0,47,24,28,21.0,45.0,66.0,65,27.0,10.0,29.0,68,211,SG,3
4602,PG,24.0,54,1537.0,207,484,118.0,89,45,57,52.0,174.0,226.0,145,93.0,29.0,75.0,133,577,SG,3
